name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
,"148, Sector C Phase 5 D.H.A, Lahore, 54910, Pakistan",dwalahore.com,+92 324 9400054,,5.0,31.462891,74.3800731
,"335-B Khayaban-e-Jinnah, near Shaukat Khanum Hospital Road, Iqbal Avenue Cooperative Housing Society - Phase I Airline Society, Lahore, 54784, Pakistan",smileon.pk,+92 331 1066666,,4.9,31.441338,74.2316701
,"281-Q Commercial lane, Sector Q DHA Phase 2, Lahore, Pakistan",ghauridentalcenter.com,+92 333 3711434,,4.9,31.4833429,74.3729718
,"39 F-block, Phase 1ØŒ Sector F. Defense, Sector F Dha Phase 1, Lahore, Pakistan",,+92 321 4461377,,4.8,31.4852249,74.3552458
,"Ghazi Rd, Sector L DHA Phase 2, Lahore, 54000, Pakistan",,+92 333 4381177,,5.0,31.4852249,74.3552458
,"87-H, Block H Commercial, Dha Phase 1, Lahore, 54000, Pakistan",instagram.com,+92 333 4156501,,5.0,31.4852249,74.3552458
,"187 Y Street 11, Sector Y DHA Phase 3, Lahore, 54000, Pakistan",dentalaesthetics.pk,+92 321 8406474,,4.5,31.4852249,74.3552458
,"D.H.A main boulevard, New, near Adil Hospital, super town, Lahore, 54000, Pakistan",,+92 316 0483437,,5.0,31.4852249,74.3552458
,"N 23, Dha Phase 1, Lahore, 54000, Pakistan",teethandco.pk,,,5.0,31.4852249,74.3552458
,"430 EE, DHA Phase 4 DHA Phase 3, Lahore, 54810, Pakistan",instagram.com,+92 320 4870893,,5.0,31.4852249,74.3552458
